nimi,telefon,direktor_telefon,email,direktor_email,omavalitsus,aadress,reg_kood,veebileht
Tallinna Asunduse Lasteaed,+3726211539,+3726211539,info@asunduse.edu.ee,,Tallinn,"Pallasti, 19, Tallinn",75017001,http://www.tallinn.ee/asunduselasteaed/
Tallinna Endla Lasteaed,+3723485571,+3723485571,endla@endla.edu.ee,,Tallinn,"Endla, 21, Tallinn",75018236,https://www.tallinn.ee/et/endla
Tallinna Haraka Lasteaed,+3726557062,+3726557062,haraka@haraka.edu.ee,,Tallinn,"Haraka, 7a, Tallinn",75016556,https://www.tallinn.ee/haraka
Tallinna Jaan Poska Lasteaed,+3726009950,+3726009950,poska@poska.edu.ee,,Tallinn,"Jakob Pärna, 2, Tallinn",75018058,http://poskalasteaed.weebly.com/
Tallinna Järveotsa Lasteaed,+3725109354,+3726571450,jarveotsala@jarveotsala.edu.ee,,Tallinn,"Järveotsa tee, 15, Tallinn",75019141,http://www.tallinn.ee/jarveotsa-lasteaed/
Tallinna Kadaka Lasteaed,+3726158975,+3723814151,kadaka@kadaka.edu.ee,,Tallinn,"Akadeemia tee, 66, Tallinn",75018934,https://www.tallinn.ee/est/kadaka/
Tallinna Kannikese Lasteaed,+3726608021,+3726608021,kannike@kannike.edu.ee,,Tallinn,"Kannikese, 13, Tallinn",75016579,http://www.kannikese.ee/
Tallinna Kelmiküla Lasteaed,+3721919108,+3726646070,direktor@kelmikyla.ee,direktor@kelmikyla.ee,Tallinn,"Tehnika, 23, Tallinn",75034904,https://www.tallinn.ee/kelmikyla/
Tallinna Kihnu Lasteaed,+3726701969,+3726701969,kihnu@kihnula.edu.ee,direktor@kihnula.edu.ee,Tallinn,"Kihnu, 1, Tallinn",75038457,http://www.tallinn.ee/kihnu-lasteaed/
Tallinna Kiisa Lasteaed,+3727872295,+3727872295,kiisa@kiisala.edu.ee,,Tallinn,"Kiisa, 6, Tallinn",75018213,https://www.tallinn.ee/et/kiisalasteaed
Tallinna Kiisupere Lasteaed,+3725180084,+3725180084,eve.taniloo@kiisupere.edu.ee,,Tallinn,"Gonsiori, 5, Tallinn",75029725,http://www.kiisupere.ee
Tallinna Kiisupere Lasteaed (Peahoone),+3726601244,,direktor@kiisupere.ee,,Tallinn,"Gonsiori, 3, Tallinn",,https://www.tallinn.ee/kiisupere/
Tallinna Kivila Lasteaed,+3726218843,+3726218843,kivila@kivila.edu.ee,,Tallinn,"Kivila, 19, Tallinn",75017030,https://www.tallinn.ee/et/kivila
Tallinna Kivimurru Lasteaed,6381598; 53071872,6381598; 53071872,kivimurru@kivimurru.edu.ee,,Tallinn,"Majaka, 32, Tallinn",75017047,https://www.tallinn.ee/est/kivimurru
Tallinna Komeedi Lasteaed,662 0647; +372 5234 663,662 0647; +372 5234 663,komeedi@komeedi.edu.ee,,Tallinn,"Komeedi, 3, Tallinn",75018360,https://komeedi.ee
Tallinna Kristiine Lasteaed,+3726552655,+3726552655,direktor@kristiinealg.edu.ee,direktor@kristiinealg.edu.ee,Tallinn,"Rästa põik, 3, Tallinn",75016496,http://www.tallinn.ee/est/kristiine-lasteaed/
Tallinna Kullatera Lasteaed,+3723958154,+3723958154,kullatera@kullatera.edu.ee,,Tallinn,,75018041,http://www.tallinn.ee/kullatera/
Tallinna Kullerkupu Lasteaed,+3726608023,+3726608023,kullerkupu@kullerkupu.edu.ee,,Tallinn,"Kullerkupu, 10, Tallinn",75016562,https://tallinn.ee/kullerkupu/
Tallinna Kuristiku Lasteaed,+3726362741,+3726362741,kuristiku@kuristikula.edu.ee,direktor@kuristikula.edu.ee,Tallinn,"Läänemere tee, 46, Tallinn",75017053,https://www.tallinn.ee/kuristiku-lasteaed/
Tallinna Lasteaed Delfiin,+3726529646,+3726521414,delfiin@delfiin.edu.ee,,Tallinn,"Juhan Sütiste tee, 4, Tallinn",75018495,https://www.tallinn.ee/est/delfiin/
Tallinna Lasteaed Karikakar,+3723406130,+3723406130,karikakar@karikakar.ee,,Tallinn,"Õismäe tee, 22, Tallinn",75019158,https://www.tallinn.ee/est/karikakar/
Tallinna Lasteaed Kaseke,+3726796812,+3726796812,kaseke@kaseke.edu.ee,,Tallinn,"Kaskede pst, 22, Tallinn",75016734,https://lasteaedkaseke.ee
Tallinna Lasteaed Kiikhobu,+3721987232,+3725299344,katrin.rasina@kiikhobu.ee,direktor@kiikhobu.ee,Tallinn,"A. H. Tammsaare tee, 95, Tallinn",75019017,http://www.kiikhobu.ee
Tallinna Lasteaed Kikas,+3726545167,+3726545167,kikas@kikas.edu.ee,,Tallinn,"Sõpruse pst, 234, Tallinn",75019023,https://www.kikas.tln.edu.ee
Tallinna Lasteaed Kirsike,+3725523315,+3725523315,kirsike@kirsike.edu.ee,,Tallinn,"Paekaare, 76, Tallinn",75016958,http://www.tallinn.ee/est/kirsike
Tallinna Lasteaed Kraavikrõll,+3726559665,+3726559665,kraavikroll@kraavila.edu.ee,,Tallinn,"Kraavi, 10, Tallinn",75016740,https://kraavikroll.haridus.ee
Tallinna Lasteaed Laagna Rukkilill,+3726324055,+3726324055,direktor@rukkilill.edu.ee,direktor@rukkilill.edu.ee,Tallinn,"Vilisuu, 5, Tallinn",75017067,http://www.tallinn.ee/lasteaed-laagna-rukkilill
Tallinna Lasteaed Mooniõied,+3724490479,+3724490479,direktor@moonioied.edu.ee,direktor@moonioied.edu.ee,Tallinn,"Kiili, 6, Tallinn",75019035,https://www.tallinn.ee/moonioied
Tallinna Lasteaed Mudila,+3726414615,+3726414315,mudila@mudila.edu.ee,,Tallinn,"Niine põik, 5, Tallinn",75017857,http://www.tallinn.ee/lasteaed-mudila
Tallinna Lasteaed Männimudila,+3726777518,+3726777518,mannimudila@mannila.edu.ee,,Tallinn,"Saha, 19, Tallinn",75016763,https://www.mannimudila.ee
Tallinna Lasteaed Nõmmekannike,+3726514766,+3726514765,direktor@nommekannike.edu.ee,direktor@nommekannike.edu.ee,Tallinn,"Vabaduse pst, 135a, Tallinn",75016770,http://www.tallinn.ee/est/nommekannike/
Tallinna Lasteaed Pallipõnn,+3726532445,+3726587297,palliponn@palliponn.edu.ee,,Tallinn,"Akadeemia tee, 50, Tallinn",75019046,https://www.palliponn.edu.ee
Tallinna Lasteaed Pääsusilm,+3726594491,+3726594491,paasusilm@paasusilm.edu.ee,,Tallinn,"Järveotsa tee, 51, Tallinn",75019164,http://www.tallinn.ee/lasteaed-paasusilm/
Tallinna Lasteaed Rabarüblik,+3723246467,+3723246467,rabaryblik@rabaryblik.ee,,Tallinn,"Raba, 10, Tallinn",75016786,http://www.rabaryblik.ee/
Tallinna Lasteaed Sinilill,"659 46 56, 5346 4448","659 46 56, 5346 4448",sinilill@sinilill.edu.ee,,Tallinn,"Järveotsa tee, 49, Tallinn",75019170,https://www.tallinn.ee/est/sinilill/
Tallinna Lasteaed Sinilind,+3726536257,+3726536257,direktor@sinilind.edu.ee,direktor@sinilind.edu.ee,Tallinn,"A. H. Tammsaare tee, 115, Tallinn",75019052,https://www.tallinn.ee/et/lasteaed-sinilind
Tallinna Lasteaed Sipsik,+3726481753,+3726481752,info@sipsik.edu.ee,,Tallinn,"Peeter Süda, 6, Tallinn",75030622,https://www.tallinn.ee/lasteaed-sipsik
Tallinna Lasteaed Südameke,+3721933567,+3721933567,sydameke@sydameke.edu.ee,,Tallinn,"Pärnu mnt, 109a, Tallinn",75018101,https://www.tallinn.ee/sudameke
Tallinna Lasteaed Vesiroos,+3726521641,+3726521641,vesiroos@lavesiroos.ee,,Tallinn,"Juhan Sütiste tee, 8, Tallinn",75018911,http://www.lavesiroos.ee
Tallinna Lasteaed Vikerkaar,+3726570838,+3723489903,vikerkaar@vikerkaar.edu.ee,direktor@vikerkaar.edu.ee,Tallinn,"Õismäe tee, 110, Tallinn",75019187,http://www.tallinn.ee/vikerkaar/
Tallinna Lasteaed Õunake,+3726702484,+3726702484,ounake@ounake.edu.ee,,Tallinn,"Ehitajate tee, 23, Tallinn",75018986,http://www.tallinn.ee/lasteaed-ounake
Tallinna Lastesõim Hellik,+3726723138,,hellik@la.tln.edu.ee,,Tallinn,"Vabaduse pst, 38a, Tallinn",,https://www.tallinn.ee/hellik/
Tallinna Lastesõim Mõmmik,+3726701612,,info@mommik.edu.ee,,Tallinn,"Metsa, 38, Tallinn",,https://www.tallinn.ee/mommik
Tallinna Lauliku Lasteaed,+3726520561,+3726520561,lauliku@lauliku.ee,direktor@lauliku.ee,Tallinn,"Kivimäe, 17, Tallinn",75032940,https://www.tallinn.ee/est/lauliku/
Tallinna Lehola Lasteaed,+3726732098,+3726732098,direktor@lehola.edu.ee,direktor@lehola.edu.ee,Tallinn,"Mustamäe tee, 187, Tallinn",75018940,https://www.tallinn.ee/et/lehola
Tallinna Lepatriinu Lasteaed,+3725115321,+3725115321,,,Tallinn,,75016585,https://tallinn.ee/lepatriinu/
Tallinna Lepistiku Lasteaed,+3726522956,+3726522956,lepistiku@lepistiku.edu.ee,direktor@lepistiku.edu.ee,Tallinn,"Retke tee, 4, Tallinn",75018472,https://www.tallinn.ee/est/lepistiku/
Tallinna Liikuri Lasteaed,+3726352467,+3726352467,direktor@liikuri.edu.ee,direktor@liikuri.edu.ee,Tallinn,"Liikuri, 9, Tallinn",75017076,https://www.tallinn.ee/est/liikuri/
Tallinna Liivaku Lasteaed,+3723411644,+3725173920,liivaku@liivaku.edu.ee,direktor@liivaku.edu.ee,Tallinn,"Juhan Sütiste tee, 56, Tallinn",75019069,http://www.tallinn.ee/liivaku-lasteaed
Tallinna Liivalossi Lasteaed,+37258873499,+37258873499,liivalossi@liivalossi.edu.ee,direktor@liivalossi.edu.ee,Tallinn,"Liivalaia, 30, Tallinn",75018302,https://www.tallinn.ee/et/liivalossi
Tallinna Liivamäe Lasteaed,+3726606142,+3726606142,liivamae@liivamae.edu.ee,,Tallinn,"Juhkentali, 25, Tallinn",75018390,https://www.liivamae.edu.ee
Tallinna Lille Lasteaed,+3726567371,+3726567371,lille@lille.edu.ee,,Tallinn,"Keemia, 5a, Tallinn",75016591,https://www.tallinn.ee/lille/
Tallinna Lindakivi Lasteaed,+3726327694,+3726327694,lindakivi@lindakivi.edu.ee,,Tallinn,"Jaan Koorti, 5, Tallinn",75017082,https://www.tallinn.ee/lindakivilasteaed/
Tallinna Linnamäe Lasteaed,+3726372984,"6372 984, 51 903 848",direktor@linnamae.edu.ee,direktor@linnamae.edu.ee,Tallinn,"Linnamäe tee, 4, Tallinn",75017099,https://www.tallinn.ee/linnamae
Tallinna Linnupesa Lasteaed,+3726552809,+3726552700,linnupesa@linnupesa.edu.ee,,Tallinn,"Lagle pst, 3, Tallinn",75016605,https://www.tallinn.ee/et/linnupesa
Tallinna Loitsu Lasteaed,+37253033141,+37258840351,direktor@loitsu.edu.ee,direktor@loitsu.edu.ee,Tallinn,,75017107,https://www.tallinn.ee/loitsu-lasteaed
Tallinna Lotte Lasteaed,+3725518100,+3725518100,direktor@lotte.edu.ee,direktor@lotte.edu.ee,Tallinn,"Lydia Koidula, 23, Tallinn",77000074,http://www.tallinn.ee/est/lotte-lasteaed/
Tallinna Luha Lasteaed,+3726450619,+3723433432,luha@luhala.edu.ee,,Tallinn,"Luha, 29, Tallinn",75018354,https://www.tallinn.ee/luha-lasteaed
Tallinna Läänemere Lasteaed,+3729199797,+3729199797,laanemere@laanemere.edu.ee,,Tallinn,"Läänemere tee, 56, Tallinn",75017113,http://www.tallinn.ee/laanemere-lasteaed/
Tallinna Magdaleena Lasteaed,+3725136088,+3725136088,info@magda.edu.ee,,Tallinn,"Asula, 16c, Tallinn",75017722,http://www.tallinn.ee/magdaleena-lasteaed/
Tallinna Mahtra Lasteaed,+3726218214,+3726218214,mahtrala@mahtrala.edu.ee,direktor@mahtrala.edu.ee,Tallinn,"Mahtra, 19, Tallinn",75017121,https://www.tallinn.ee/mahtra-lasteaed
Tallinna Mardi Lasteaed,+3726607656,+3726607656,mardi@mardila.edu.ee,,Tallinn,"Mardi, 5, Tallinn",75029731,http://www.tallinn.ee/mardi-lasteaed
Tallinna Meelespea Lasteaed,+3725037805,+3725037805,meelespea@meelespea.edu.ee,,Tallinn,"Õismäe tee, 92, Tallinn",75019193,https://www.tallinn.ee/et/meelespea
Tallinna Mesimummu Lasteaed,+3726376509,,katlin.tanin@mesimummu.edu.ee,,Tallinn,"Tartu mnt, 57, Tallinn",,https://www.tallinn.ee/mesimummu/
Tallinna Muhu Lasteaed,+3726370294,+3726370294,muhu@muhula.edu.ee,,Tallinn,"Linnamäe tee, 6, Tallinn",75017142,https://tallinn.ee/muhu
Tallinna Muinasjutu Lasteaed,+3726561181,+3726561181,direktor@muinasjutu.edu.ee,direktor@muinasjutu.edu.ee,Tallinn,"Energia, 11, Tallinn",75016540,https://www.tallinn.ee/et/muinasjutu
Tallinna Mustakivi Lasteaed,+3726345836,+3726345892,mustakivi@mustakivila.edu.ee,,Tallinn,"Kivila, 9, Tallinn",75017159,https://www.tallinn.ee/est/mustakivi/
Tallinna Mutionu Lasteaed,6 727 802; 52 52 095,6 727 802; 52 52 095,direktor@mutionu.edu.ee,direktor@mutionu.edu.ee,Tallinn,"Mehaanika, 17, Tallinn",75016616,https://www.tallinn.ee/et/mutionu
Tallinna Männi Lasteaed,+3726245698,+3726536361,manni@manni.edu.ee,,Tallinn,"Eduard Vilde tee, 103, Tallinn",75019075,http://www.tallinn.ee/manni-lasteaed/
Tallinna Männiku Lasteaed,+3726585785,+3726585784,direktor@manniku.edu.ee,direktor@manniku.edu.ee,Tallinn,"Kraavi, 4, Tallinn",75017509,https://www.tallinn.ee/manniku-lasteaed
Tallinna Männikäbi Lasteaed,+3726775663,+3726775605,mannikabi@mannikabi.edu.ee,direktor@mannikabi.edu.ee,Tallinn,"Kadaka tee, 155, Tallinn",75019098,https://www.tallinn.ee/est/mannikabi-lasteaed/
Tallinna Mürakaru Lasteaed,+3723090902,+3726947824,direktor@myrakaru.edu.ee,direktor@myrakaru.edu.ee,Tallinn,"Vase, 5, Tallinn",75018288,https://www.tallinn.ee/murakaru
Tallinna Mürakaru Lasteaed (peahoone),+37253090902,,direktor@myrakaru.edu.ee,,Tallinn,"Villem Reimani, 3, Tallinn",,https://www.tallinn.ee/murakaru
Tallinna Nurmenuku Lasteaed,+3725169415,+3725169415,nurmenuku@nurme.edu.ee,,Tallinn,"Õismäe tee, 26, Tallinn",75019201,https://www.tallinn.ee/est/nurmenuku-lasteaed/
Tallinna Padriku Lasteaed,+3723540391,+3723490822,padriku@padriku.edu.ee,,Tallinn,"Padriku tee, 10, Tallinn",75035453,https://www.tallinn.ee/padriku
Tallinna Pae Lasteaed,+3725523315,+3725523315,pae@pae.edu.ee,,Tallinn,"Pae, 50a, Tallinn",75017194,http://www.tallinn.ee/pae
Tallinna Paekaare Lasteaed,+3725064675,+3726333137,paekaarela@paekaarela.edu.ee,,Tallinn,"Pae, 51, Tallinn",75017165,http://www.tallinn.ee/est/paekaare-lasteaed/
Tallinna Pallasti Lasteaed,+3726210780,+3726704464,pallasti@pallasti.edu.ee,,Tallinn,"Pallasti, 39, Tallinn",75017171,https://www.tallinn.ee/pallasti-lasteaed/
Tallinna Priisle Lasteaed,+3726355045,+3726356810,direktor@priisle.edu.ee,direktor@priisle.edu.ee,Tallinn,"Kristjan Kärberi, 31, Tallinn",75017188,https://tallinn.ee/et/priislelasteaed
Tallinna Päevalille Lasteaed,+3726485996,+3726485996,paevalille@la.tln.edu.ee,,Tallinn,"Raua, 53, Tallinn",75018147,https://www.paevalillela.edu.ee
Tallinna Päikesejänku Lasteaed,+3725646449,+3725074589,paikesejanku@janku.edu.ee,,Tallinn,"Invaliidi, 5, Tallinn",75018319,http://www.tallinn.ee/est/paikesejanku-lasteaed/
Tallinna Raadiku Lasteaed,+3726345849,+3726345565,raadiku@raadiku.edu.ee,direktor@raadiku.edu.ee,Tallinn,"Mahtra, 13, Tallinn",75017202,http://www.tallinn.ee/raadiku-lasteaed
Tallinna Raku Lasteaed,+3726705103,+3726705103,raku@raku.edu.ee,,Tallinn,"Piibri, 12, Tallinn",75017521,https://www.tallinn.ee/raku-lasteaed
Tallinna Rännaku Lasteaed,+3726510090,+3726510090,pille.siimpoeg@rannaku.ee,,Tallinn,"Rännaku pst, 28, Tallinn",75035720,http://www.rannaku.ee
Tallinna Rõõmupesa Lasteaed,+3726536254,+3726536254,roomupesa@rp.edu.ee,,Tallinn,"A. H. Tammsaare tee, 141, Tallinn",75019106,https://www.roomupesa.tln.edu.ee/
Tallinna Seli Lasteaed,+3726356970,+3726356970,seli@seli.edu.ee,direktor@seli.edu.ee,Tallinn,"Kristjan Kärberi, 29, Tallinn",75017219,https://www.tallinn.ee/seli
Tallinna Sikupilli Lasteaed,+3726215433,+3726215433,sikupilli@sikupilli.edu.ee,,Tallinn,"Kivimurru, 3a, Tallinn",75017225,https://sikupillilasteaed.ee/
Tallinna Suitsupääsupesa Lasteaed,+3725246346,+3725246346,rahvuslind@rahvuslind.edu.ee,,Tallinn,"Suitsu põik, 4, Tallinn",75018377,https://www.suitsupaasupesa.ee
