nimi,email,omavalitsus,aadress,telefon
Tallinna Arbu Lasteaed,arbu@la.tln.edu.ee,Tallinn,"Arbu, 15, Tallinn",+372 632 7829
Tallinna Asunduse Lasteaed,info@asunduse.edu.ee,Tallinn,"Pallasti, 19, Tallinn",+372 621 1539
Tallinna Endla Lasteaed,endla@endla.edu.ee,Tallinn,"Endla, 21, Tallinn",+372 645 2983
Tallinna Haraka Lasteaed,haraka@haraka.edu.ee,Tallinn,"Haraka, 7a, Tallinn",+372 655 7062
Tallinna Jaan Poska Lasteaed,poska@viies.edu.ee,Tallinn,"Jakob Pärna, 2, Tallinn",+372 600 9656
Tallinna Järveotsa Lasteaed,jarveotsa@jarveotsala.edu.ee,Tallinn,"Järveotsa tee, 15, Tallinn",+372 657 1294
Tallinna Kadaka Lasteaed,kadaka@kadaka.edu.ee,Tallinn,"Akadeemia tee, 66, Tallinn",+372 677 5679
Tallinna Kannikese Lasteaed,kannike@kannike.edu.ee,Tallinn,"Kannikese, 13, Tallinn",+372 660 8021
Tallinna Kelmiküla Lasteaed,direktor@kelmikyla.ee,Tallinn,"Tehnika, 23, Tallinn",+372 664 6070
Tallinna Kihnu Lasteaed,info@kihnula.edu.ee,Tallinn,"Kihnu, 1, Tallinn",+372 670 1967
Tallinna Kiisa Lasteaed,info@kiisala.edu.ee,Tallinn,"Kiisa, 6, Tallinn",+372 656 1706
Tallinna Kiisupere Lasteaed,direktor@kiisupere.ee,Tallinn,"Gonsiori, 5, Tallinn",+372 5670 6906
Tallinna Kiisupere Lasteaed (Peahoone),direktor@kiisupere.ee,Tallinn,"Gonsiori, 3, Tallinn",+372 660 1244
Tallinna Kivila Lasteaed,kivila@la.tln.edu.ee,Tallinn,"Kivila, 19, Tallinn",+372 621 8843
Tallinna Kivimurru Lasteaed,info@kivimurru.edu.ee,Tallinn,"Majaka, 32, Tallinn",+372 638 1598
Tallinna Komeedi Lasteaed,komeedi@komeedila.edu.ee,Tallinn,"Komeedi, 3, Tallinn",+372 662 0647
Tallinna Kristiine Lasteaed,direktor@kristiinealg.tln.edu.ee,Tallinn,"Rästa põik, 3, Tallinn",+372 655 2655
Tallinna Kullerkupu Lasteaed,kullerkupula@hot.ee,Tallinn,"Kullerkupu, 10, Tallinn",+372 660 8023
Tallinna Kuristiku Lasteaed,info@kuristikula.edu.ee,Tallinn,"Läänemere tee, 46, Tallinn",+372 636 2741
Tallinna Lasteaed Delfiin,lasteaed@lad.tln.edu.ee,Tallinn,"Juhan Sütiste tee, 4, Tallinn",+372 652 1414
Tallinna Lasteaed Karikakar,karikakar@karikakar.ee,Tallinn,"Õismäe tee, 22, Tallinn",+372 657 1539
Tallinna Lasteaed Kaseke,info@kaseke.edu.ee,Tallinn,"Kaskede pst, 22, Tallinn",+372 679 6812
Tallinna Lasteaed Kiikhobu,katrin.rasina@kiikhobu.ee,Tallinn,"A. H. Tammsaare tee, 95, Tallinn",+372 653 2177
Tallinna Lasteaed Kikas,kikas@kikas.edu.ee,Tallinn,"Sõpruse pst, 234, Tallinn",+372 654 5167
Tallinna Lasteaed Kirsike,info@kirsike.edu.ee,Tallinn,"Paekaare, 76, Tallinn",+372 621 6376
Tallinna Lasteaed Kraavikrõll,kraavikroll@kraavila.edu.ee,Tallinn,"Kraavi, 10, Tallinn",+372 655 9664
Tallinna Lasteaed Laagna Rukkilill,rukkilill@la.tln.edu.ee,Tallinn,"Vilisuu, 5, Tallinn",+372 632 4055
Tallinna Lasteaed Mooniõied,moonioied@la.tln.edu.ee,Tallinn,"Kiili, 6, Tallinn",+372 653 8265
Tallinna Lasteaed Mudila,mudila@mudila.edu.ee,Tallinn,"Niine põik, 5, Tallinn",+372 641 4315
Tallinna Lasteaed Männimudila,mannimudila@mannila.edu.ee,Tallinn,"Saha, 19, Tallinn",+372 677 7518
Tallinna Lasteaed Nõmmekannike,nommekannike@la.tln.edu.ee,Tallinn,"Vabaduse pst, 135a, Tallinn",+372 651 4765
Tallinna Lasteaed Pallipõnn,palliponn@la.tln.edu.ee,Tallinn,"Akadeemia tee, 50, Tallinn",+372 658 7297
Tallinna Lasteaed Pääsusilm,paasusilm@la.tln.edu.ee,Tallinn,"Järveotsa tee, 51, Tallinn",+372 659 4257
Tallinna Lasteaed Rabarüblik,rabaryblik@rabaryblik.ee,Tallinn,"Raba, 10, Tallinn",+372 677 7839
Tallinna Lasteaed Sinilill,sinilill@la.tln.edu.ee,Tallinn,"Järveotsa tee, 49, Tallinn",+372 659 4656
Tallinna Lasteaed Sinilind,direktor@sinilind.edu.ee,Tallinn,"A. H. Tammsaare tee, 115, Tallinn",+372 653 6256
Tallinna Lasteaed Sipsik,info@sipsik.edu.ee,Tallinn,"Peeter Süda, 6, Tallinn",+372 648 1752
Tallinna Lasteaed Südameke,sydameke@sydameke.edu.ee,Tallinn,"Pärnu mnt, 109a, Tallinn",+372 656 1037
Tallinna Lasteaed Vesiroos,vesiroos@lavesiroos.ee,Tallinn,"Juhan Sütiste tee, 8, Tallinn",+372 652 1640
Tallinna Lasteaed Vikerkaar,info@vikerkaar.edu.ee,Tallinn,"Õismäe tee, 110, Tallinn",+372 657 0806
Tallinna Lasteaed Õunake,ounake@ounake.edu.ee,Tallinn,"Ehitajate tee, 23, Tallinn",+372 670 2484
Tallinna Lastesõim Hellik,hellik@la.tln.edu.ee,Tallinn,"Vabaduse pst, 38a, Tallinn",+372 672 3138
Tallinna Lastesõim Mõmmik,info@mommik.edu.ee,Tallinn,"Metsa, 38, Tallinn",+372 670 1612
Tallinna Lauliku Lasteaed,lauliku@lauliku.ee,Tallinn,"Kivimäe, 17, Tallinn",+372 652 0561
Tallinna Lehola Lasteaed,lehola@la.tln.edu.ee,Tallinn,"Mustamäe tee, 187, Tallinn",+372 652 6566
Tallinna Lepistiku Lasteaed,lepistiku@lepistiku.edu.ee,Tallinn,"Retke tee, 4, Tallinn",+372 652 2956
Tallinna Liikuri Lasteaed,direktor@liikuri.ee,Tallinn,"Liikuri, 9, Tallinn",+372 6352467;+372 6352468;+372 6352575
Tallinna Liivaku Lasteaed,liivaku@liivaku.edu.ee,Tallinn,"Juhan Sütiste tee, 56, Tallinn",+372 652 1639
Tallinna Liivalossi Lasteaed,info@liivalossi.edu.ee,Tallinn,"Liivalaia, 30, Tallinn",+372 644 9487
Tallinna Liivamäe Lasteaed,liivamae@liivamae.edu.ee,Tallinn,"Juhkentali, 25, Tallinn",+372 660 6101
Tallinna Lille Lasteaed,lille@lille.edu.ee,Tallinn,"Keemia, 5a, Tallinn",+372 656 7371
Tallinna Lindakivi Lasteaed,lindakivi@la.tln.edu.ee,Tallinn,"Jaan Koorti, 5, Tallinn",+372 632 7694
Tallinna Linnamäe Lasteaed,info@linnamae.edu.ee,Tallinn,"Linnamäe tee, 4, Tallinn",+372 637 2984
Tallinna Linnupesa Lasteaed,linnupesa@linnupesa.edu.ee,Tallinn,"Lagle pst, 3, Tallinn",+372 655 2700
Tallinna Lotte Lasteaed,direktor@lotte.edu.ee,Tallinn,"Lydia Koidula, 23, Tallinn",+372 551 8100
Tallinna Luha Lasteaed,luha@luhala.edu.ee,Tallinn,"Luha, 29, Tallinn",+372 645 0839
Tallinna Läänemere Lasteaed,laanemere@la.tln.edu.ee,Tallinn,"Läänemere tee, 56, Tallinn",+372 636 7016
Tallinna Magdaleena Lasteaed,info@magda.edu.ee,Tallinn,"Asula, 16c, Tallinn",+372 656 1469
Tallinna Mahtra Lasteaed,mahtrala@mahtrala.edu.ee,Tallinn,"Mahtra, 19, Tallinn",+372 621 8214
Tallinna Mardi Lasteaed,info@mardila.edu.ee,Tallinn,"Mardi, 5, Tallinn",+372 660 7656
Tallinna Meelespea Lasteaed,info@meelespea.edu.ee,Tallinn,"Õismäe tee, 92, Tallinn",+372 657 1167
Tallinna Mesimummu Lasteaed,katlin.tanin@mesimummu.edu.ee,Tallinn,"Tartu mnt, 57, Tallinn",+372 637 6509
Tallinna Muhu Lasteaed,muhu@la.tln.edu.ee,Tallinn,"Linnamäe tee, 6, Tallinn",+372 637 0294
Tallinna Muinasjutu Lasteaed,direktor@muinasjutu.edu.ee,Tallinn,"Energia, 11, Tallinn",+372 656 1181
Tallinna Mustakivi Lasteaed,mustakivi@la.tln.edu.ee,Tallinn,"Kivila, 9, Tallinn",+372 634 0063
Tallinna Mutionu Lasteaed,mutionu@la.tln.edu.ee,Tallinn,"Mehaanika, 17, Tallinn",+372 672 7802
Tallinna Männi Lasteaed,manni@la.tln.edu.ee,Tallinn,"Eduard Vilde tee, 103, Tallinn",+372 653 6361
Tallinna Männiku Lasteaed,manniku@la.tln.edu.ee,Tallinn,"Kraavi, 4, Tallinn",+372 658 5784
Tallinna Männikäbi Lasteaed,mannikabi@la.tln.edu.ee,Tallinn,"Kadaka tee, 155, Tallinn",+372 677 5663
Tallinna Mürakaru Lasteaed,direktor@myrakaru.edu.ee,Tallinn,"Vase, 5, Tallinn",+372 5309 0902
Tallinna Mürakaru Lasteaed (peahoone),direktor@myrakaru.edu.ee,Tallinn,"Villem Reimani, 3, Tallinn",+372 5309 0902
Tallinna Nurmenuku Lasteaed,nurmenuku@nurme.edu.ee,Tallinn,"Õismäe tee, 26, Tallinn",+372 657 3937
Tallinna Padriku Lasteaed,padriku@padriku.edu.ee,Tallinn,"Padriku tee, 10, Tallinn",+372 603 5482
Tallinna Pae Lasteaed,pae@la.tln.edu.ee,Tallinn,"Pae, 50a, Tallinn",+372 621 0079
Tallinna Paekaare Lasteaed,paekaarela@la.tln.edu.ee,Tallinn,"Pae, 51, Tallinn",+372 633 2986
Tallinna Pallasti Lasteaed,pallasti@la.tln.edu.ee,Tallinn,"Pallasti, 39, Tallinn",+372 621 0780
Tallinna Priisle Lasteaed,priisle@la.tln.edu.ee,Tallinn,"Kristjan Kärberi, 31, Tallinn",+372 635 5045
Tallinna Päevalille Lasteaed,paevalille@la.tln.edu.ee,Tallinn,"Raua, 53, Tallinn",+372 648 5996
Tallinna Päikesejänku Lasteaed,paikesejanku@janku.edu.ee,Tallinn,"Invaliidi, 5, Tallinn",+372 646 1459
Tallinna Raadiku Lasteaed,raadiku@la.tln.edu.ee,Tallinn,"Mahtra, 13, Tallinn",+372 634 5565
Tallinna Raku Lasteaed,raku@la.tln.edu.ee,Tallinn,"Piibri, 12, Tallinn",+372 670 5103
Tallinna Rännaku Lasteaed,pille.siimpoeg@rannaku.ee,Tallinn,"Rännaku pst, 28, Tallinn",+372 651 0090
Tallinna Rõõmupesa Lasteaed,roomupesa@la.tln.edu.ee,Tallinn,"A. H. Tammsaare tee, 141, Tallinn",+372 653 6254
Tallinna Seli Lasteaed,seli@la.tln.edu.ee,Tallinn,"Kristjan Kärberi, 29, Tallinn",+372 635 6970
Tallinna Sikupilli Lasteaed,sikupilli@la.tln.edu.ee,Tallinn,"Kivimurru, 3a, Tallinn",+372 621 5433
Tallinna Suitsupääsupesa Lasteaed,rahvuslind@rahvuslind.edu.ee,Tallinn,"Suitsu põik, 4, Tallinn",+372 656 1855
Tallinna Suur-Pae Lasteaed,info@suurpae.edu.ee,Tallinn,"Punane, 29, Tallinn",+372 621 6883
Tallinna Sõbrakese Lasteaed,direktor@sobrakese.edu.ee,Tallinn,"Kiili, 7, Tallinn",+372 652 0394
Tallinna Tammetõru Lasteaed,direktor@tammetoru.edu.ee,Tallinn,"A. H. Tammsaare tee, 79, Tallinn",+372 652 3776
Tallinna Tihase Lasteaed,tihase@tihase.edu.ee,Tallinn,"Nõmme tee, 9, Tallinn",+372 651 3370
Tallinna Tuule Lasteaed,direktor@tuule.edu.ee,Tallinn,"Paekaare, 38, Tallinn",+372 633 3201
Tallinna Tähekese Lasteaed,tahekesela@haridus.ee,Tallinn,"Ehitajate tee, 50, Tallinn",+372 662 8691
Tallinna Unistuse Lasteaed,unistuse@unistuse.edu.ee,Tallinn,"Gildi, 17, Tallinn",+372 637 6417
Tallinna Veerise Lasteaed,direktor@veerise.edu.ee,Tallinn,"Veerise, 1, Tallinn",+372 648 0502
Tallinna Vindi Lasteaed,vindi@vindi.edu.ee,Tallinn,"Vindi, 3, Tallinn",+372 655 3665
Tallinna Virmalise Lasteaed,virmalise@la.tln.edu.ee,Tallinn,"Virmalise, 24, Tallinn",+372 645 0438
Tallinna Vormsi Lasteaed,vormsi@la.tln.edu.ee,Tallinn,"Vormsi, 1, Tallinn",+372 637 1093
Tallinna Ülemiste Lasteaed,ylemiste@la.tln.edu.ee,Tallinn,"Peterburi tee, 18, Tallinn",+372 621 0078
Tallinna Ümera Lasteaed,ymera@la.tln.edu.ee,Tallinn,"Ümera, 9, Tallinn",+372 635 6806
Lasteaed Väike Pauline,vaikepauline@gmail.com,Tartu,"Jakobi, 45, Tartu",
Põlva valla Lasteaed Sinilind,sinilind@polva.ee,Vastse-Kuuste alevik,"Lasteaia, 2, Vastse-Kuuste alevik",
Ülenurme lasteaed Nurmepesa,info@ylenurmelasteaed.ee,Ülenurme alevik,"Lasteaia, 6, Ülenurme alevik",+372 741 2305
